Draw Date,Amount
09/10/2024,$810 million
06/04/2024,$552 million
03/26/2024,$1.128 billion
12/08/2023,$394 million
10/06/2023,$361 million
08/15/2023,$39 million
08/08/2023,$1.602 billion
04/18/2023,$20 million
04/14/2023,$483 million
01/31/2023,$31 million
01/24/2023,$33 million
01/17/2023,$20 million
01/13/2023,$1.348 billion
10/14/2022,$502 million
07/29/2022,$1.337 billion
04/15/2022,$20 million
04/12/2022,$110 million
03/08/2022,$128 million
01/28/2022,$426 million
10/22/2021,$108 million
09/21/2021,$431 million
06/08/2021,$55 million
05/21/2021,$516 million
02/16/2021,$96 million
01/22/2021,$1.050 billion
09/15/2020,$120 million
07/31/2020,$22 million
07/24/2020,$123 million
06/09/2020,$414 million
02/11/2020,$202 million
12/17/2019,$375 million
09/24/2019,$225 million
07/23/2019,$168 million
06/07/2019,$522 million
03/12/2019,$50 million
03/01/2019,$273 million
01/01/2019,$437 million
10/23/2018,$1.537 billion
07/24/2018,$543 million
05/04/2018,$142 million
03/30/2018,$533 million
01/05/2018,$451 million
10/13/2017,$42 million
09/22/2017,$105 million
08/11/2017,$393 million
04/28/2017,$61 million
03/31/2017,$177 million
01/27/2017,$191 million
11/18/2016,$83 million
10/11/2016,$49 million
09/16/2016,$134 million
07/22/2016,$15 million
07/19/2016,$25 million
07/08/2016,$536 million
03/08/2016,$157 million
01/08/2016,$169 million
11/13/2015,$202 million
09/11/2015,$106 million
07/31/2015,$25 million
07/21/2015,$153 million
06/02/2015,$262 million
03/24/2015,$58 million
02/27/2015,$126 million
01/16/2015,$265 million
11/04/2014,$326 million
08/22/2014,$180 million
06/27/2014,$33 million
06/13/2014,$66 million
05/20/2014,$149 million
04/04/2014,$30 million
03/25/2014,$20 million
03/18/2014,$414 million
01/03/2014,$61 million
12/17/2013,$648 million
10/01/2013,$189 million
07/26/2013,$19 million
07/16/2013,$20 million
07/05/2013,$80 million
05/31/2013,$30 million
05/17/2013,$198 million
03/12/2013,$41 million
02/19/2013,$26 million
02/05/2013,$19 million
01/25/2013,$89 million
12/14/2012,$35 million
11/27/2012,$50 million
11/02/2012,$33 million
10/16/2012,$61 million
09/18/2012,$14 million
09/11/2012,$120 million
07/27/2012,$52 million
07/03/2012,$85 million
05/29/2012,$32 million
05/15/2012,$25 million
05/04/2012,$118 million
03/30/2012,$656 million
01/24/2012,$72 million
12/27/2011,$208 million
11/01/2011,$78 million
09/30/2011,$113 million
08/19/2011,$32 million
08/05/2011,$99 million
07/01/2011,$107 million
05/27/2011,$35 million
05/13/2011,$27 million
05/03/2011,$51 million
04/15/2011,$72 million
03/25/2011,$319 million
02/01/2011,$93 million
01/04/2011,$380 million
11/09/2010,$25 million
10/29/2010,$141 million
09/17/2010,$54 million
08/27/2010,$135 million
07/16/2010,$64 million
06/22/2010,$26 million
06/11/2010,$36 million
05/28/2010,$12 million
05/25/2010,$64 million
05/04/2010,$266 million
03/12/2010,$20 million
03/05/2010,$134 million
01/29/2010,$144 million
12/22/2009,$165 million
11/10/2009,$77 million
10/16/2009,$200 million
09/01/2009,$12 million
08/28/2009,$336 million
07/07/2009,$133 million
05/29/2009,$35 million
05/15/2009,$38 million
05/01/2009,$227 million
03/13/2009,$26 million
03/03/2009,$216 million
01/13/2009,$22 million
01/02/2009,$47 million
12/12/2008,$207 million
10/21/2008,$42 million
10/03/2008,$42 million
09/16/2008,$15 million
09/09/2008,$24 million
08/29/2008,$133 million
07/22/2008,$126 million
06/13/2008,$57 million
05/23/2008,$17 million
05/16/2008,$196 million
04/01/2008,$136 million
02/22/2008,$275 million
01/01/2008,$33 million
12/18/2007,$163 million
11/02/2007,$75 million
10/05/2007,$27 million
09/25/2007,$12 million
09/21/2007,$61 million
08/31/2007,$330 million
07/06/2007,$128 million
05/29/2007,$44 million
05/11/2007,$113 million
04/06/2007,$105 million
03/06/2007,$390 million
01/09/2007,$125 million
12/01/2006,$40 million
11/14/2006,$75 million
10/17/2006,$55 million
09/26/2006,$15 million
09/19/2006,$12 million
09/15/2006,$163 million
08/01/2006,$31 million
07/18/2006,$49 million
06/27/2006,$24 million
06/16/2006,$35 million
06/02/2006,$47 million
05/16/2006,$94 million
04/18/2006,$265 million
02/28/2006,$270 million
01/06/2006,$15 million
12/30/2005,$88 million
11/29/2005,$35 million
11/15/2005,$315 million
09/16/2005,$258 million
07/22/2005,$170 million
06/03/2005,$106 million
04/22/2005,$208 million
03/01/2005,$115 million
01/18/2005,$131 million
12/03/2004,$25 million
11/19/2004,$149 million
10/01/2004,$106 million
08/20/2004,$52 million
07/27/2004,$10 million
07/23/2004,$47 million
07/02/2004,$294 million
05/07/2004,$67 million
04/09/2004,$109 million
03/02/2004,$21 million
02/20/2004,$239 million
12/30/2003,$162 million
11/11/2003,$70 million
10/07/2003,$12 million
09/30/2003,$150 million
08/08/2003,$50 million
07/11/2003,$34 million
06/20/2003,$183 million
04/25/2003,$46 million
03/28/2003,$20 million
03/14/2003,$43 million
02/18/2003,$12 million
02/11/2003,$128 million
12/24/2002,$68 million
11/19/2002,$16 million
11/08/2002,$93 million
09/27/2002,$37 million
09/06/2002,$17 million
08/27/2002,$108 million
07/16/2002,$165 million
05/24/2002,$12 million
05/17/2002,$28 million
